_id,accX,accY,accZ,gyroAlpha,gyroGamma,gyroBeta,timeStamp1,quality,number,__v
ObjectId("5cb830d75eb4560017216749"),-0.13946533203125,1.4259796142578125,9.649398803710938,95.01643352764009,0.8253900846045965,8.385793710886368,1555575003562,false,467,0
ObjectId("5cb830d75eb4560017216748"),-0.1490325927734375,1.406829833984375,9.685317993164062,95.01643352764009,0.8253900846045965,8.385793710886368,1555575003361,false,466,0
ObjectId("5cb830d75eb456001721674a"),-0.1466522216796875,1.423583984375,9.67333984375,95.01643352764009,0.8253900846045965,8.385793710886368,1555575003761,false,468,0
ObjectId("5cb830d75eb456001721674b"),-0.1274871826171875,1.43316650390625,9.692489624023438,95.01643352764009,0.8253900846045965,8.385793710886368,1555575003961,true,469,0
ObjectId("5cb830d85eb456001721674c"),-0.1322784423828125,1.43316650390625,9.582366943359375,94.74374180691471,0.9379407311277,8.34236162045642,1555575004161,false,470,0
ObjectId("5cb830d85eb456001721674d"),-0.144256591796875,1.406829833984375,9.668548583984375,94.74374180691471,0.9379407311277,8.34236162045642,1555575004361,false,471,0
ObjectId("5cb830d85eb456001721674e"),-0.1466522216796875,1.4379425048828125,9.68292236328125,94.74374180691471,0.9379407311277,8.34236162045642,1555575004561,false,472,0
ObjectId("5cb830d85eb456001721674f"),-0.1370697021484375,1.43316650390625,9.6302490234375,94.74374180691471,0.9379407311277,8.34236162045642,1555575004761,false,473,0
ObjectId("5cb830d85eb4560017216750"),-0.1298828125,1.440338134765625,9.690093994140625,94.74374180691471,0.9379407311277,8.34236162045642,1555575004961,false,474,0
ObjectId("5cb830d85eb4560017216751"),-0.15142822265625,1.428375244140625,9.68292236328125,94.74374180691471,0.9379407311277,8.34236162045642,1555575005162,false,475,0
ObjectId("5cb830d95eb4560017216752"),-0.156219482421875,1.4116058349609375,9.680526733398438,94.74374180691471,0.9379407311277,8.34236162045642,1555575005361,false,476,0
ObjectId("5cb830d95eb4560017216753"),-0.1370697021484375,1.4211883544921875,9.670944213867188,94.74374180691471,0.9379407311277,8.34236162045642,1555575005561,false,477,0
ObjectId("5cb830d95eb4560017216754"),-0.1322784423828125,1.41400146484375,9.6422119140625,94.74374180691471,0.9379407311277,8.34236162045642,1555575005761,true,478,0
